,full_text,startYear,averageRating,numVotes,writers,directors,actors
4119, Comedy Drama Family Walt Disney Pictures The Montecito Picture Company Studio AKA christmas fairy godmother,2020,6.1,14732, KariGranlund MelissaK.Stack, SharonMaguire, JuneSquibb JillianBell SoniaManzano CarleaseBurke JaneCurtin EricaParks IsabelleMcNamara OlgaMerediz StephnieWeir TimEstiloz
4120, Action Comedy Brown Sugar Apple Grunt XYZ Films new zealand maori wrestling wrestling coach polynesia polynesian auckland tonga coaching pacific islanders pasifika tongan,2020,6.4,485, JohnArgall OwenBlack, KielMcNaughton, JohnTui Kauri-LeeWijohn LoloRounds JayLaga'aia MillenBaird SiobhanMarshall UliLatukefu TianTan BenjaminLaw NathanielLees
4121, Comedy Romance Sábado Películas Loco Por Ti AIE romcom mental health clinic,2021,6.6,6851, NataliaDurán EricNavarro, DanidelaOrden, ÁlvaroCervantes SusanaAbaitua LuisZahera AixaVillagrán TxellAixendri NilCardoner EduardoAntuña PaulaMalia ClaraSegura MariaRibera
4122, Comedy Drama The Mediapro Studio TV3 Orange RTVE,2021,7.0,17258, AndrésDuprat GastónDuprat MarianoCohn, MarianoCohn GastónDuprat, PenélopeCruz AntonioBanderas OscarMartínez JoséLuisGómez ManoloSolo NagoreAranburu IreneEscolar PilarCastro KoldoOlabarri JuanGrandinetti
4123, Comedy Drama Sidney Kimmel Entertainment Mr. Mudd Production Right of Way Films Black Label Media infidelity new york city loss of loved one pregnancy dark comedy carousel  father-in-law car crash pot smoking grieving widower grief marijuana male homosexuality hospital car accident mourning lgbt teen grieving vending machine death of wife investment banker station wagon defiant,2015,7.0,128838, BryanSipe, Jean-MarcVallée, JakeGyllenhaal NaomiWatts ChrisCooper JudahLewis C.J.Wilson PollyDraper MalachyCleary DebraMonk HeatherLind WassStevens
4124, Comedy Drama Attraction Images,2020,6.5,210, MiryamBouchard MartinForget, MiryamBouchard, PatrickHuard JasmineLemée RobinAubert SophieLorain MathildeBoucher LouiseLatraverse AlainZouvi IsabelleBrouillette GenevièveSchmidt FayolleJeanJr.
4125, Action Animation Horror CAPCOM Sony Pictures Digital Frontier biological weapon dystopia post-apocalyptic future infection zombie based on video game adult animation anime genetic mutation,2008,6.4,34363, ShotaroSuga ShinjiMikami TokuroFujiwara KenichiIwao TakahiroArimitsu HiroyukiKobayashi YoshiakiHirabayashi NoboruSugimura HidekiKamiya Father, MakotoKamiya, PaulMercier AlysonCourt LauraBailey RogerCraigSmith CrispinFreeman MichelleRuff MichaelSorich SalliSaffioti MaryElizabethMcGlynn SteveBlum
4126, Biography Comedy Drama Ixtlan Productions JCE Movies Global Entertainment Group Lionsgate usa president the white house politics biography president iraq war america biographical drama biopic,2008,6.3,51166, StanleyWeiser, OliverStone, JoshBrolin ElizabethBanks IoanGruffudd ColinHanks TobyJones DennisBoutsikaris JeffreyWright ThandiweNewton ScottGlenn RichardDreyfuss
4127, Comedy Horror Black Fawn Films Particular Crowd Breakthrough Entertainment Citizen Skull Productions Radioactive Pictures serial killer slasher spoof 80s throwback,2020,6.5,8966, JamesVilleneuve CodyCalahan, CodyCalahan, EvanMarsh AmberGoldfarb AriMillen JulianRichings RobertMaillet SeanBaek DavidKoechner AlexaRoseSteele KristopherBowman MarkGibson
4128," Adventure Biography Comedy Wildwood Enterprises Route One Entertainment husband wife relationship homeland mountain hiking new hampshire based on true story climbing appalachia woods friends based on memoir or autobiography old friends travel writer connection appalachian trail elderly man backpacking memories reminiscing serene beautiful landscapes the great outdoors gear adventure hopeful moving back home contemplation des moines, iowa",2015,6.4,31734, MichaelArndt BillHolderman BillBryson, KenKwapis, RobertRedford NickNolte EmmaThompson MarySteenburgen NickOfferman KristenSchaal R.KeithHarris RandallNewsome HayleyLovitt LindsEdwards
